YGD_ID	gene_name	NCBI_ID	chr	start	end	strand	gene_type	gene_description	human_gene_ID	human_gene_name	yeast_gene_similarity	interpro_ID	interpro_description	GO_slim_ID	GO_slim_description
Q0142	Q0142		Mito	51052	51228	+	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps dubious open reading frame Q0143 [Source:SGD;Acc:S000007276]						GO:0005739	mitochondrion
Q0143	Q0143		Mito	51277	51429	+	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000007277]						GO:0005739	mitochondrion
Q0144			Mito	54109	54438	+	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000007278]						GO:0005739	mitochondrion
Q0158															
Q0160	SCEI	854590	Mito	61022	61729	+	protein_coding	I-SceI DNA endonuclease; encoded by the mitochondrial group I intron of the 21S_rRNA gene; mediates gene conversion that propagates the intron into intron-less copies of the 21S_rRNA gene [Source:SGD;Acc:S000007279]				IPR004860;IPR027434	Homing endonuclease, LAGLIDADG;Homing endonuclease	GO:0005739;GO:0016787;GO:0004518;GO:0006397;GO:0006310;GO:0008380	mitochondrion;hydrolase activity;nuclease activity;mRNA processing;DNA recombination;RNA splicing
Q0182	Q0182		Mito	65770	66174	+	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000007280]						GO:0005739	mitochondrion
Q0250	COX2	854622	Mito	73758	74513	+	protein_coding	Subunit II of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits [Source:SGD;Acc:S000007281]	ENSG00000198712	MT-CO2	41.8502	IPR001505;IPR002429;IPR008972;IPR011759;IPR014222;IPR034210;IPR036257	Copper centre Cu(A);Cytochrome c oxidase subunit II-like C-terminal;Cupredoxin;Cytochrome C oxidase subunit II, transmembrane domain;Cytochrome c oxidase, subunit II;Cytochrome c oxidase subunit 2, C-terminal;Cytochrome C oxidase subunit II, transmembrane domain superfamily	GO:0043167;GO:0016020;GO:0016491;GO:0006091;GO:0045333;GO:0055086;GO:0022857	ion binding;membrane;oxidoreductase activity;generation of precursor metabolites and energy;cellular respiration;nucleobase-containing small molecule metabolic process;transmembrane transporter activity
Q0255	Q0255	854623	Mito	74495	75984	+	protein_coding	Maturase-like protein [Source:SGD;Acc:S000007282]				IPR003647;IPR004860;IPR010896;IPR027434	Intron encoded nuclease repeat;Homing endonuclease, LAGLIDADG;Nuclease-associated modular DNA-binding 1;Homing endonuclease	GO:0005739;GO:0003723;GO:0003677;GO:0016787;GO:0004518;GO:0008380	mitochondrion;RNA binding;DNA binding;hydrolase activity;nuclease activity;RNA splicing
Q0275	COX3	24573142;854627	Mito	79213	80022	+	protein_coding	Subunit III of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits [Source:SGD;Acc:S000007283]	ENSG00000198938	MT-CO3	45.2107	IPR000298;IPR013833;IPR024791;IPR033945;IPR035973	Cytochrome c oxidase subunit III-like;Cytochrome c oxidase, subunit III, 4-helical bundle;Cytochrome c oxidase subunit III;Cytochrome c oxidase subunit III domain;Cytochrome c oxidase subunit III-like superfamily	GO:0005739;GO:0016020;GO:0006091;GO:0045333;GO:0055086;GO:0016491;GO:0022857	mitochondrion;membrane;generation of precursor metabolites and energy;cellular respiration;nucleobase-containing small molecule metabolic process;oxidoreductase activity;transmembrane transporter activity
Q0285															
Q0297	Q0297		Mito	85554	85709	+	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene RPM1 [Source:SGD;Acc:S000007284]						GO:0005739	mitochondrion
RDN18-1															
RDN18-2															
RDN25-1															
RDN25-2															
RDN37-1															
RDN37-2															
RDN5-1															
RDN5-2															
RDN5-3															
RDN5-4															
RDN5-5															
RDN5-6															
RDN58-1															
RDN58-2															
RME2															
RME3															
RNA170															
RPR1															
RUF20															
RUF21															
RUF22															
RUF23															
RUF5-1															
RUF5-2															
SCR1															
snR10															
snR11															
snR128															
snR13															
snR14															
snR161															
snR17a															
snR17b															
snR18															
snR189															
snR19															
snR190															
snR191															
snR24															
snR3															
snR30															
snR31															
snR32															
snR33															
snR34															
snR35															
snR36															
snR37															
snR38															
snR39															
snR39B															
snR4															
snR40															
snR41															
snR42															
snR43															
snR44															
snR45															
snR46															
snR47															
snR48															
snR49															
snR5															
snR50															
snR51															
snR52															
snR53															
snR54															
snR55															
snR56															
snR57															
snR58															
snR59															
snR6															
snR60															
snR61															
snR62															
snR63															
snR64															
snR65															
snR66															
snR67															
snR68															
snR69															
snR7-L															
snR7-S															
snR70															
snR71															
snR72															
snR73															
snR74															
snR75															
snR76															
snR77															
snR78															
snR79															
snR8															
snR80															
snR81															
snR82															
snR83															
snR84															
snR85															
snR86															
snR87															
snR9															
SRG1															
tA(AGC)D															
tA(AGC)F															
tA(AGC)G															
tA(AGC)H															
tA(AGC)J															
tA(AGC)K1															
tA(AGC)K2															
tA(AGC)L															
tA(AGC)M1															
tA(AGC)M2															
tA(AGC)P															
tA(UGC)A															
tA(UGC)E															
tA(UGC)G															
tA(UGC)L															
tA(UGC)O															
tA(UGC)Q															
tC(GCA)B															
tC(GCA)G															
tC(GCA)P1															
tC(GCA)P2															
tC(GCA)Q															
tD(GUC)B															
tD(GUC)D															
tD(GUC)G1															
tD(GUC)G2															
tD(GUC)I1															
tD(GUC)I2															
tD(GUC)J1															
tD(GUC)J2															
tD(GUC)J3															
tD(GUC)J4															
tD(GUC)K															
tD(GUC)L1															
tD(GUC)L2															
tD(GUC)M															
tD(GUC)N															
tD(GUC)O															
tD(GUC)Q															
tE(CUC)D															
tE(CUC)I															
tE(UUC)B															
tE(UUC)C															
tE(UUC)E1															
tE(UUC)E2															
tE(UUC)E3															
tE(UUC)G1															
tE(UUC)G2															
tE(UUC)G3															
tE(UUC)I															
tE(UUC)J															
tE(UUC)K															
tE(UUC)L															
tE(UUC)M															
tE(UUC)P															
tE(UUC)Q															
tF(GAA)B															
tF(GAA)D															
tF(GAA)F															
tF(GAA)G															
tF(GAA)H1															
tF(GAA)H2															
tF(GAA)M															
tF(GAA)N															
tF(GAA)P1															
tF(GAA)P2															
tF(GAA)Q															
tG(CCC)D															
tG(CCC)O															
tG(GCC)B															
tG(GCC)C															
tG(GCC)D1															
tG(GCC)D2															
tG(GCC)E															
tG(GCC)F1															
tG(GCC)F2															
tG(GCC)G1															
tG(GCC)G2															
tG(GCC)J1															
tG(GCC)J2															
tG(GCC)M															
tG(GCC)O1															
tG(GCC)O2															
tG(GCC)P1															
tG(GCC)P2															
tG(UCC)G															
tG(UCC)N															
tG(UCC)O															
tG(UCC)Q															
tH(GUG)E1															
tH(GUG)E2															
tH(GUG)G1															
tH(GUG)G2															
tH(GUG)H															
tH(GUG)K															
tH(GUG)M															
tH(GUG)Q															
tI(AAU)B															
tI(AAU)D															
tI(AAU)E1															
tI(AAU)E2															
tI(AAU)G															
tI(AAU)I1															
tI(AAU)I2															
tI(AAU)L1															
tI(AAU)L2															
tI(AAU)N1															
tI(AAU)N2															
tI(AAU)P1															
tI(AAU)P2															
tI(GAU)Q															
tI(UAU)D															
tI(UAU)L															
tK(CUU)C															
tK(CUU)D1															
tK(CUU)D2															
tK(CUU)E1															
tK(CUU)E2															
tK(CUU)F															
tK(CUU)G1															
tK(CUU)G2															
tK(CUU)G3															
tK(CUU)I															
tK(CUU)J															
tK(CUU)K															
tK(CUU)M															
tK(CUU)P															
tK(UUU)D															
tK(UUU)G1															
tK(UUU)G2															
tK(UUU)K															
tK(UUU)L															
tK(UUU)O															
tK(UUU)P															
tK(UUU)Q															
tL(CAA)A															
tL(CAA)C															
tL(CAA)D															
tL(CAA)G1															
tL(CAA)G2															
tL(CAA)G3															
tL(CAA)K															
tL(CAA)L															
tL(CAA)M															
tL(CAA)N															
tL(GAG)G															
tL(UAA)B1															
tL(UAA)B2															
tL(UAA)D															
tL(UAA)J															
tL(UAA)K															
tL(UAA)L															
tL(UAA)N															
tL(UAA)Q															
tL(UAG)J															
tL(UAG)L1															
tL(UAG)L2															
tM(CAU)C															
tM(CAU)D															
tM(CAU)E															
tM(CAU)J1															
tM(CAU)J2															
tM(CAU)J3															
tM(CAU)M															
tM(CAU)O1															
tM(CAU)O2															
tM(CAU)P															
tM(CAU)Q1															
tM(CAU)Q2															
tN(GUU)C															
tN(GUU)F															
tN(GUU)G															
tN(GUU)K															
tN(GUU)L															
tN(GUU)N1															
tN(GUU)N2															
tN(GUU)O1															
tN(GUU)O2															
tN(GUU)P															
tN(GUU)Q															
tP(AGG)C															
tP(AGG)N															
tP(UGG)A															
tP(UGG)F															
tP(UGG)H															
tP(UGG)L															
tP(UGG)M															
tP(UGG)N1															
tP(UGG)N2															
tP(UGG)O1															
tP(UGG)O2															
tP(UGG)O3															
tP(UGG)Q															
tQ(CUG)M															
tQ(UUG)B															
tQ(UUG)C															
tQ(UUG)D1															
tQ(UUG)D2															
tQ(UUG)D3															
tQ(UUG)E1															
tQ(UUG)E2															
tQ(UUG)H															
tQ(UUG)L															
tQ(UUG)Q															
tR(ACG)D															
tR(ACG)E															
tR(ACG)J															
tR(ACG)K															
tR(ACG)L															
tR(ACG)O															
tR(ACG)Q2															
tR(CCG)L															
tR(CCU)J															
tR(UCU)B															
tR(UCU)D															
tR(UCU)E															
tR(UCU)G1															
tR(UCU)G2															
tR(UCU)G3															
tR(UCU)J1															
tR(UCU)J2															
tR(UCU)K															
tR(UCU)M1															
tR(UCU)M2															
tR(UCU)Q1															
tS(AGA)A															
tS(AGA)B															
tS(AGA)D1															
tS(AGA)D2															
tS(AGA)D3															
tS(AGA)E															
tS(AGA)G															
tS(AGA)H															
tS(AGA)J															
tS(AGA)L															
tS(AGA)M															
tS(CGA)C															
tS(GCU)F															
tS(GCU)O															
tS(GCU)Q1															
tS(UGA)E															
tS(UGA)I															
tS(UGA)P															
tS(UGA)Q2															
tT(AGU)B															
tT(AGU)C															
tT(AGU)D															
tT(AGU)H															
tT(AGU)I1															
tT(AGU)I2															
tT(AGU)J															
tT(AGU)N1															
tT(AGU)N2															
tT(AGU)O1															
tT(AGU)O2															
tT(CGU)K															
tT(UAG)Q2															
tT(UGU)G1															
tT(UGU)G2															
tT(UGU)H															
tT(UGU)P															
tT(UGU)Q1															
tV(AAC)E1															
tV(AAC)E2															
tV(AAC)G1															
tV(AAC)G2															
tV(AAC)G3															
tV(AAC)H															
tV(AAC)J															
tV(AAC)K1															
tV(AAC)K2															
tV(AAC)L															
tV(AAC)M1															
tV(AAC)M2															
tV(AAC)M3															
tV(AAC)O															
tV(CAC)D															
tV(CAC)H															
tV(UAC)B															
tV(UAC)D															
tV(UAC)Q															
tW(CCA)G1															
tW(CCA)G2															
tW(CCA)J															
tW(CCA)K															
tW(CCA)M															
tW(CCA)P															
tW(UCA)Q															
tX(XXX)D															
tX(XXX)L															
tY(GUA)D															
tY(GUA)F1															
tY(GUA)F2															
tY(GUA)J1															
tY(GUA)J2															
tY(GUA)M1															
tY(GUA)M2															
tY(GUA)O															
tY(GUA)Q															
YAL004W															
YAL016C-A			I	124755	125069	-	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF TPD3/YAL016W [Source:SGD;Acc:S000028728]							
YAL016C-B															
YAL019W-A															
YAL026C-A			I	95386	95823	-	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAL027W and the verified gene DRS2 [Source:SGD;Acc:S000028730]							
YAL031W-A			I	84669	84977	+	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF GIP4/YAL031C [Source:SGD;Acc:S000028731]							
YAL034C-B															
YAL037C-A															
YAL037C-B															
YAL037W															
YAL042C-A	YAL042C-A		I	61231	61608	-	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified ORF ERV46/YAL042W; YAL042C-A is a non-essential gene [Source:SGD;Acc:S000002138]							
YAL045C															
YAL047W-A			I	54584	54913	+	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF GEM1/YAL048C [Source:SGD;Acc:S000028733]							
YAL056C-A															
YAL059C-A			I	36496	36918	-	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene ECM1/YAL059W [Source:SGD;Acc:S000028734]							
YAL063C-A															
YAL064C-A															
YAL064W															
YAL066W															
YAL067W-A															
YAL068C															
YAL068W-A															
YAL069W															
YAR019W-A															
YAR020C															
YAR030C															
YAR035C-A															
YAR047C			I	201467	201787	-	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000000083]							
YAR053W			I	208367	208663	+	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000000085]							
YAR060C															
YAR061W															
YAR068W															
YAR069C		1466534	I	224011	224304	-	protein_coding	Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; YAR069C has a paralog, YHR214C-D, that arose from a segmental duplication [Source:SGD;Acc:S000000092]							
YAR070C															
YBL006W-A															
YBL012C															
YBL028C															
YBL029W															
YBL039C-A															
YBL039W-B															
YBL044W															
YBL053W			II	119335	119709	+	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000000149]							
YBL062W			II	105308	105688	+	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000000158]							
YBL065W															
YBL068W-A															
YBL070C			II	90605	90925	-	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000000166]							
YBL071C-B															
YBL073W															
YBL077W															
YBL081W															
YBL083C															
YBL086C															
YBL094C			II	43765	44097	-	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps uncharacterized ORF YBL095W [Source:SGD;Acc:S000000190]							
YBL096C															
YBL100C			II	36989	37303	-	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the 5' end of ATP1 [Source:SGD;Acc:S000000196]						GO:0016020	membrane
YBL100W-C															
YBL107W-A															
YBL108C-A															
YBL108W															
YBL109W															
YBL112C															
YBL113W-A			II	646	1128	+	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching [Source:SGD;Acc:S000028599]							
YBR012C															
YBR013C															
YBR032W															
YBR051W			II	337988	338338	+	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the REG2/YBR050C regulatory subunit of the Glc7p type-1 protein phosphatase [Source:SGD;Acc:S000000255]							
YBR056C-B															
YBR056W-A															
YBR064W			II	367763	368191	+	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YBR063C [Source:SGD;Acc:S000000268]							
YBR072C-A															
YBR076C-A			II	391351	391617	-	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene ECM8; identified by fungal homology and RT-PCR [Source:SGD;Acc:S000028533]							
YBR089W			II	425183	425782	+	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the verified gene POL30 [Source:SGD;Acc:S000000293]							
YBR096W															
